08/25/2018 10:51:28 AM CompletedProcess(args='python DeepThoughtHelper.py', returncode=0)
09/07/2018 09:26:41 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:46 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:49 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:53 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:55 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:26:58 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:02 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:05 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:10 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:12 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:15 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:17 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:21 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:26 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:28 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:32 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:34 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:37 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:40 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:43 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:46 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:50 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:54 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:27:57 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:01 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:04 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:07 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:12 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:16 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:21 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:23 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:27 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
09/07/2018 09:28:30 PM CompletedProcess(args='python DeepThoughtMain.py', returncode=0)
